month_id,Total_Accidents,Own_Damage_Accidents,Third_Party_Accidents,Total_Loss_Cases,Mean_Own_Damage_Severity,Mean_Third_Party_Severity,Total_Own_Damage_Amount,Total_Third_Party_Amount,Total_Payout_Amount,source_row_number,source_sha256,critical_checks_pass
M0001,96,66,39,3,29974.815404240762,137848.73082542853,1978337.8166798903,5376100.502191713,7354438.318871603,1,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0002,107,79,46,13,69796.19233316227,213982.7535039964,5513899.194319819,9843206.661183834,15357105.855503652,2,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0003,88,68,31,4,28156.332029783065,72568.73420382084,1914630.5780252484,2249630.760318446,4164261.3383436943,3,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0004,103,73,40,3,17059.205352853987,65010.6590592534,1245321.990758341,2600426.3623701357,3845748.353128477,4,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0005,111,81,40,4,9350.262477389024,85884.5844587178,757371.2606685109,3435383.378348712,4192754.639017223,5,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0006,90,65,31,4,12773.906538380741,58629.298562558295,830303.9249947482,1817508.255439307,2647812.180434055,6,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0007,94,66,31,3,28906.558727578962,65623.20686146013,1907832.8760202115,2034319.412705264,3942152.288725476,7,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0008,98,68,33,7,41934.77928246463,134763.07277115193,2851564.991207595,4447181.401448013,7298746.392655608,8,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0009,103,72,42,1,25758.49371812033,173873.6641966599,1854611.5477046638,7302693.896259716,9157305.443964379,9,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0010,94,65,40,9,35594.0003742232,142496.89899706433,2313610.024324508,5699875.959882573,8013485.984207081,10,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
