month_id,accident_count,at_fault_own_damage_claim_count,injured_party_excess_own_damage_claim_count,third_party_liability_claim_count,total_claim_count,own_damage_paid_million_toman,third_party_property_paid_million_toman,third_party_bodily_paid_million_toman,total_insurer_paid_loss_million_toman,uncovered_property_excess_million_toman,source_row_number,source_sha256,critical_checks_pass
M0001,104,76,0,41,117,1983.061321595676,2552.731560215711,1398.1250401548054,5933.917921966193,55.54668134365929,1,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0002,104,66,0,41,107,1516.3466021195609,2554.0073854467346,443.41822298932004,4513.772210555616,201.39485520417335,2,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0003,104,72,0,43,115,1698.76663670237,2428.538973256826,614.9315570204853,4742.237166979681,31.067909554221103,3,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0004,98,60,1,40,101,1668.7447097921029,2538.7345364388316,785.7616816224299,4993.240927853364,314.83446774741276,4,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0005,106,77,3,32,112,2137.5545717053633,2761.635631439066,113.40719135435167,5012.597394498782,443.81013022421604,5,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0006,101,75,0,39,114,2227.804736797689,2440.3372446279213,1047.8176240583261,5715.959605483937,65.89117603313122,6,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0007,113,77,0,40,117,2335.1796631753577,2397.942792341466,1105.8426435159347,5838.965099032758,156.44849781351036,7,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0008,99,73,0,41,114,1798.6047902873809,2101.8735251067706,1402.4442492758906,5302.922564670042,81.50869874888824,8,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0009,89,63,0,40,103,1733.8104936859509,1932.5719221205463,937.7091904458565,4604.091606252354,126.98719166642124,9,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0010,87,60,0,37,97,1791.6719923018002,2257.6468598305937,957.159427489881,5006.478279622274,94.36917484721722,10,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0011,102,76,1,39,116,1837.1644287339884,1914.0773407919846,1108.376113574212,4859.617883100185,0.0,11,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0012,115,83,1,37,121,2170.7323969188337,2894.704568174703,153.61596545256324,5219.0529305461005,335.1784343236074,12,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0013,124,84,1,51,136,2366.7179630895757,3388.3403102305474,1045.0329854508648,6800.091258770987,67.18288974892329,13,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0014,109,77,1,41,119,1980.293659802942,2505.8495485405374,597.279773739242,5083.422982082721,151.59386579182257,14,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0015,91,62,1,41,104,1726.6074790672494,2400.4902121106024,1638.6968500887376,5765.7945412665895,7.626806320090552,15,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0016,103,72,0,41,113,1857.7743908136504,2744.921630359919,1543.9232043802526,6146.619225553823,115.83567557419724,16,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0017,112,77,1,50,128,2015.5457813759608,3352.8319940636216,1198.6455401238084,6567.0233155633905,202.32479458760415,17,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0018,118,81,0,40,121,2154.999843199023,2720.5704188004547,801.4754014760308,5677.045663475508,198.14931854817823,18,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0019,101,67,0,41,108,1867.3912573257091,2268.894338036806,593.2256262822996,4729.511221644814,69.46966958456461,19,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0020,96,69,0,41,110,1736.5401032787433,2506.506947813439,841.703705572566,5084.750756664748,88.11635705086401,20,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0021,103,70,1,42,113,1812.058505486322,2662.9727417875883,1029.7432453226336,5504.774492596544,0.0,21,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
