policy_id,vehicle_id,coverage_type,property_limit_million_toman,bodily_limit_million_toman,insured_value_million_toman,deductible_million_toman,one_month_exposure,risk_score,segment,empirical_claim_probability,mean_paid_loss_million_toman,record_type
TP00001,V00001,third_party_liability,400.0,1000.0,,0.0,1.0,1.11867259,standard,0.004,93.50616929,synthetic
OD00001,V00001,own_damage,,,933.412021,5.0,1.0,1.11867259,standard,0.011,23.31486774,synthetic
TP00002,V00002,third_party_liability,200.0,1500.0,,0.0,1.0,1.30699131,standard,0.001,21.13612245,synthetic
OD00002,V00002,own_damage,,,1045.372858,5.0,1.0,1.30699131,standard,0.008,40.36803025,synthetic
TP00003,V00003,third_party_liability,400.0,1500.0,,0.0,1.0,1.12728223,standard,0.002,89.36917372,synthetic
OD00003,V00003,own_damage,,,807.308249,5.0,1.0,1.12728223,standard,0.007,21.67424273,synthetic
TP00004,V00004,third_party_liability,200.0,1500.0,,0.0,1.0,0.64871097,standard,0.003,104.24266263,synthetic
OD00004,V00004,own_damage,,,499.781961,5.0,1.0,0.64871097,standard,0.007,40.67113255,synthetic
TP00005,V00005,third_party_liability,400.0,1500.0,,0.0,1.0,0.54597487,commercial,0.004,34.21965662,synthetic
OD00005,V00005,own_damage,,,672.416362,5.0,1.0,0.54597487,commercial,0.009,31.54422871,synthetic
TP00006,V00006,third_party_liability,200.0,1000.0,,0.0,1.0,1.48429109,preferred,0.003,32.91427148,synthetic
OD00006,V00006,own_damage,,,1058.4435,5.0,1.0,1.48429109,preferred,0.01,31.8343449,synthetic
TP00007,V00007,third_party_liability,100.0,1000.0,,0.0,1.0,1.00780845,standard,0.006,49.71981099,synthetic
TP00008,V00008,third_party_liability,100.0,1000.0,,0.0,1.0,1.5751714,preferred,0.008,93.53575901,synthetic
OD00008,V00008,own_damage,,,682.975726,5.0,1.0,1.5751714,preferred,0.021,23.58799151,synthetic
TP00009,V00009,third_party_liability,400.0,1000.0,,0.0,1.0,1.67121707,commercial,0.005,57.41338082,synthetic
OD00009,V00009,own_damage,,,927.868071,5.0,1.0,1.67121707,commercial,0.012,24.12105172,synthetic
TP00010,V00010,third_party_liability,100.0,1000.0,,0.0,1.0,1.09593375,standard,0.001,48.67127346,synthetic
TP00011,V00011,third_party_liability,100.0,1000.0,,0.0,1.0,1.54057985,standard,0.005,112.8482829,synthetic
OD00011,V00011,own_damage,,,1060.088692,5.0,1.0,1.54057985,standard,0.016,22.32219239,synthetic
TP00012,V00012,third_party_liability,200.0,1000.0,,0.0,1.0,1.33455767,preferred,0.011,61.22526688,synthetic
OD00012,V00012,own_damage,,,559.771614,5.0,1.0,1.33455767,preferred,0.021,25.60643428,synthetic
TP00013,V00013,third_party_liability,200.0,1500.0,,0.0,1.0,0.79856795,preferred,0.006,54.32085271,synthetic
OD00013,V00013,own_damage,,,1025.15416,5.0,1.0,0.79856795,preferred,0.01,30.66703664,synthetic
TP00014,V00014,third_party_liability,400.0,1500.0,,0.0,1.0,1.15091862,standard,0.006,74.95478486,synthetic
OD00014,V00014,own_damage,,,683.850243,5.0,1.0,1.15091862,standard,0.012,27.1507349,synthetic
TP00015,V00015,third_party_liability,100.0,1500.0,,0.0,1.0,1.61977195,preferred,0.006,73.88173515,synthetic
TP00016,V00016,third_party_liability,400.0,1000.0,,0.0,1.0,1.13989263,standard,0.008,72.38692466,synthetic
OD00016,V00016,own_damage,,,941.949961,5.0,1.0,1.13989263,standard,0.012,35.48969638,synthetic
TP00017,V00017,third_party_liability,100.0,1000.0,,0.0,1.0,0.54368957,commercial,0.0,0.0,synthetic
TP00018,V00018,third_party_liability,200.0,1000.0,,0.0,1.0,1.39377771,preferred,0.006,55.29294979,synthetic
OD00018,V00018,own_damage,,,415.662508,5.0,1.0,1.39377771,preferred,0.012,25.69478901,synthetic
TP00019,V00019,third_party_liability,100.0,1000.0,,0.0,1.0,0.52500936,standard,0.004,45.24380081,synthetic
OD00019,V00019,own_damage,,,814.781118,5.0,1.0,0.52500936,standard,0.008,13.16829993,synthetic
TP00020,V00020,third_party_liability,200.0,1000.0,,0.0,1.0,1.38217401,standard,0.008,56.35438309,synthetic
OD00020,V00020,own_damage,,,267.508141,5.0,1.0,1.38217401,standard,0.017,22.59486725,synthetic
TP00021,V00021,third_party_liability,400.0,1000.0,,0.0,1.0,1.4962777,standard,0.004,131.16302333,synthetic
TP00022,V00022,third_party_liability,200.0,1000.0,,0.0,1.0,0.79503675,standard,0.003,123.94750924,synthetic
OD00022,V00022,own_damage,,,632.917439,5.0,1.0,0.79503675,standard,0.007,33.38495834,synthetic
TP00023,V00023,third_party_liability,200.0,1000.0,,0.0,1.0,1.43158495,standard,0.009,46.56564814,synthetic
TP00024,V00024,third_party_liability,200.0,1000.0,,0.0,1.0,1.12813056,standard,0.004,51.95495925,synthetic
