vehicle_id,insured_value_million_toman,risk_score,segment,has_own_damage_policy,record_type
V00001,933.412021,1.11867259,standard,True,synthetic
V00002,1045.372858,1.30699131,standard,True,synthetic
V00003,807.308249,1.12728223,standard,True,synthetic
V00004,499.781961,0.64871097,standard,True,synthetic
V00005,672.416362,0.54597487,commercial,True,synthetic
V00006,1058.4435,1.48429109,preferred,True,synthetic
V00007,635.116555,1.00780845,standard,False,synthetic
V00008,682.975726,1.5751714,preferred,True,synthetic
V00009,927.868071,1.67121707,commercial,True,synthetic
V00010,394.978856,1.09593375,standard,False,synthetic
V00011,1060.088692,1.54057985,standard,True,synthetic
V00012,559.771614,1.33455767,preferred,True,synthetic
V00013,1025.15416,0.79856795,preferred,True,synthetic
V00014,683.850243,1.15091862,standard,True,synthetic
V00015,503.436856,1.61977195,preferred,False,synthetic
V00016,941.949961,1.13989263,standard,True,synthetic
V00017,1554.600587,0.54368957,commercial,False,synthetic
V00018,415.662508,1.39377771,preferred,True,synthetic
V00019,814.781118,0.52500936,standard,True,synthetic
V00020,267.508141,1.38217401,standard,True,synthetic
V00021,1182.905103,1.4962777,standard,False,synthetic
V00022,632.917439,0.79503675,standard,True,synthetic
V00023,1215.696913,1.43158495,standard,False,synthetic
V00024,1303.153083,1.12813056,standard,True,synthetic
V00025,1621.322229,1.03077185,standard,False,synthetic
V00026,966.754384,1.48713184,standard,True,synthetic
V00027,1135.574344,1.17916899,standard,False,synthetic
V00028,895.344509,1.14597101,preferred,True,synthetic
V00029,990.817916,0.68365176,standard,True,synthetic
V00030,431.07963,0.45898164,preferred,True,synthetic
V00031,407.782626,0.97323126,preferred,False,synthetic
V00032,758.516875,2.46127463,preferred,True,synthetic
V00033,1541.901221,0.88792811,preferred,False,synthetic
V00034,991.462669,1.15680369,standard,False,synthetic
V00035,615.184597,0.67389082,standard,True,synthetic
V00036,399.968419,0.63883681,standard,True,synthetic
V00037,586.357358,1.10147345,standard,True,synthetic
V00038,767.186444,0.72997515,standard,False,synthetic
V00039,1490.993527,0.80500809,standard,True,synthetic
V00040,684.41077,0.85462831,standard,True,synthetic
V00041,575.411745,0.51866356,standard,False,synthetic
V00042,727.993971,1.99365572,preferred,True,synthetic
V00043,638.827643,1.0827851,commercial,True,synthetic
V00044,1592.263058,0.7262219,commercial,False,synthetic
V00045,1358.482145,1.59267648,commercial,False,synthetic
V00046,353.210675,0.80613235,commercial,True,synthetic
V00047,492.824347,1.04148385,standard,True,synthetic
V00048,2683.577173,1.24691952,standard,False,synthetic
V00049,619.170321,1.53371468,preferred,True,synthetic
V00050,619.291313,0.82296592,preferred,False,synthetic
V00051,563.927046,0.96605768,standard,True,synthetic
V00052,673.018417,0.84154565,standard,False,synthetic
V00053,1166.693444,0.75429583,commercial,True,synthetic
V00054,581.308931,1.0231009,standard,True,synthetic
V00055,309.841387,0.81048083,standard,True,synthetic
V00056,499.426942,1.12904795,preferred,True,synthetic
V00057,715.791849,1.18844384,preferred,True,synthetic
V00058,654.90484,1.11642853,standard,True,synthetic
V00059,405.704162,1.01886859,standard,True,synthetic
V00060,1137.255503,1.37691749,standard,False,synthetic
V00061,375.843614,0.92916735,commercial,True,synthetic
V00062,704.70635,0.49266672,commercial,True,synthetic
V00063,392.34898,0.60894786,standard,False,synthetic
V00064,500.312974,1.00355585,preferred,True,synthetic
V00065,547.077219,1.53850597,standard,True,synthetic
V00066,680.211852,1.20202741,preferred,True,synthetic
V00067,481.679325,0.66749231,commercial,True,synthetic
V00068,584.456268,0.99763543,preferred,True,synthetic
V00069,1625.962877,0.68558469,standard,False,synthetic
V00070,1063.835395,1.10200981,standard,True,synthetic
V00071,1334.303674,1.00152412,preferred,False,synthetic
V00072,1029.293242,1.07496605,standard,True,synthetic
V00073,818.564201,1.49462873,standard,False,synthetic
V00074,1133.996897,1.37637233,preferred,False,synthetic
V00075,727.930008,0.79114293,standard,True,synthetic
V00076,1290.791399,1.64483104,standard,True,synthetic
V00077,698.529054,0.73539471,standard,True,synthetic
V00078,641.03575,0.93324015,preferred,True,synthetic
V00079,354.898251,0.90053923,preferred,True,synthetic
V00080,1853.094024,1.2156972,standard,True,synthetic
V00081,1269.941783,1.12031699,preferred,False,synthetic
V00082,460.256327,1.28120234,standard,True,synthetic
V00083,1508.735937,0.52375327,standard,True,synthetic
V00084,915.968702,1.04371006,commercial,True,synthetic
V00085,250.0,0.95931278,preferred,False,synthetic
V00086,703.84584,0.96442122,commercial,True,synthetic
V00087,747.405135,0.72309502,preferred,True,synthetic
V00088,1051.004607,0.99537356,preferred,False,synthetic
V00089,705.101003,0.88369411,commercial,True,synthetic
V00090,795.595033,0.82691555,preferred,True,synthetic
V00091,1039.843324,0.98768206,preferred,True,synthetic
V00092,587.153305,0.61183578,preferred,True,synthetic
V00093,638.842106,0.97998631,preferred,True,synthetic
V00094,676.749225,1.28082024,commercial,True,synthetic
V00095,1727.118215,0.70480324,standard,False,synthetic
V00096,768.850275,0.66773266,commercial,True,synthetic
V00097,476.937399,1.61996035,preferred,True,synthetic
V00098,1211.128923,0.49977643,standard,False,synthetic
V00099,296.393092,0.8095886,standard,True,synthetic
V00100,1690.858664,0.89731278,standard,True,synthetic
V00101,761.622327,2.28066498,standard,True,synthetic
V00102,1446.226122,0.89036534,standard,False,synthetic
V00103,714.043287,0.73731545,standard,True,synthetic
V00104,730.567671,0.94471946,standard,False,synthetic
V00105,622.357341,0.68440098,preferred,True,synthetic
V00106,804.519246,1.51278246,standard,True,synthetic
V00107,845.23547,0.91406863,standard,True,synthetic
V00108,321.66724,0.7361878,preferred,False,synthetic
V00109,487.795511,1.00622747,commercial,True,synthetic
V00110,1079.038505,2.1691782,standard,True,synthetic
V00111,1756.656944,0.93527678,standard,True,synthetic
V00112,1333.444614,0.48439079,commercial,True,synthetic
V00113,740.759422,1.74529932,preferred,True,synthetic
V00114,1167.893186,0.57513349,preferred,False,synthetic
V00115,363.956074,0.78222564,standard,True,synthetic
V00116,285.79056,0.98839348,preferred,True,synthetic
V00117,406.806678,1.40768126,standard,False,synthetic
V00118,704.0373,1.2303576,standard,True,synthetic
V00119,1722.109458,1.16846733,standard,False,synthetic
V00120,467.908303,0.67211952,standard,False,synthetic
V00121,518.124289,0.77970329,standard,False,synthetic
V00122,1233.913359,0.61379232,preferred,True,synthetic
V00123,741.217313,1.51311138,preferred,True,synthetic
V00124,571.431788,1.20531702,standard,False,synthetic
V00125,702.467949,0.67369149,preferred,True,synthetic
V00126,1320.080018,1.11816841,preferred,True,synthetic
V00127,840.359045,1.6980039,preferred,True,synthetic
V00128,2132.473385,0.98354641,standard,True,synthetic
V00129,491.017411,0.66691958,commercial,False,synthetic
V00130,1092.717751,0.66593479,standard,True,synthetic
V00131,437.046537,1.40469528,standard,False,synthetic
V00132,868.904124,0.9180267,standard,True,synthetic
V00133,568.428034,0.81780658,standard,True,synthetic
V00134,633.439266,0.61195779,preferred,False,synthetic
V00135,740.425764,1.42602876,standard,True,synthetic
V00136,956.656186,1.00218118,standard,False,synthetic
V00137,1042.034715,0.98583339,standard,False,synthetic
V00138,1355.717299,0.57060184,standard,True,synthetic
V00139,1279.847601,0.98403752,standard,True,synthetic
V00140,805.315355,0.54755579,preferred,True,synthetic
V00141,464.941474,1.2356839,standard,True,synthetic
V00142,635.39575,0.62130135,standard,True,synthetic
V00143,921.350663,1.01521759,standard,False,synthetic
V00144,393.52721,1.05714126,standard,True,synthetic
V00145,1506.471442,0.7908662,standard,False,synthetic
V00146,442.08276,0.62549141,standard,True,synthetic
V00147,1326.569456,1.5718743,preferred,False,synthetic
V00148,399.644244,0.63220534,standard,False,synthetic
V00149,1004.937901,0.81696642,standard,True,synthetic
V00150,535.975604,1.39403286,commercial,True,synthetic
V00151,959.710422,0.5207179,standard,True,synthetic
V00152,1285.828857,1.25001247,preferred,True,synthetic
V00153,718.408952,1.164513,standard,False,synthetic
V00154,912.732568,0.89139848,standard,True,synthetic
V00155,749.437207,0.86604138,standard,True,synthetic
V00156,433.531257,1.77612919,standard,True,synthetic
V00157,1389.256839,0.93232199,standard,True,synthetic
V00158,318.543978,0.696815,preferred,True,synthetic
V00159,382.58548,0.62854912,standard,False,synthetic
V00160,654.330445,0.82280921,standard,False,synthetic
V00161,347.835226,1.28651315,preferred,False,synthetic
V00162,544.426206,1.24003916,preferred,True,synthetic
V00163,1017.571218,0.67251084,standard,True,synthetic
V00164,505.334571,1.69597357,standard,False,synthetic
V00165,459.619234,0.74186035,commercial,True,synthetic
V00166,445.691094,0.59199338,standard,True,synthetic
V00167,2151.329371,1.30161892,preferred,True,synthetic
V00168,996.281205,0.86376988,commercial,False,synthetic
V00169,1190.130909,1.24285272,standard,True,synthetic
V00170,1275.31578,1.1345816,standard,True,synthetic
V00171,2088.120249,1.21061533,standard,True,synthetic
V00172,857.024066,0.90855704,standard,False,synthetic
V00173,901.273871,1.32004166,standard,True,synthetic
V00174,816.79697,1.38009441,commercial,True,synthetic
V00175,734.007084,1.24137494,standard,True,synthetic
V00176,462.25358,0.89863687,standard,True,synthetic
V00177,1367.040506,0.46323823,preferred,True,synthetic
V00178,1146.425046,0.83444688,preferred,False,synthetic
V00179,423.223447,0.95729199,commercial,True,synthetic
V00180,744.166882,0.69812827,standard,True,synthetic
V00181,1207.392681,0.72045392,preferred,True,synthetic
V00182,862.653724,1.10904096,standard,False,synthetic
V00183,325.114794,0.9041152,preferred,True,synthetic
V00184,1271.745936,1.35282801,standard,False,synthetic
V00185,1879.235295,1.05799168,standard,False,synthetic
V00186,250.0,1.06703932,standard,True,synthetic
V00187,733.08826,0.80820268,standard,True,synthetic
V00188,1303.174209,0.99917343,standard,True,synthetic
V00189,590.877157,1.136666,standard,True,synthetic
V00190,449.642954,1.93305142,standard,True,synthetic
V00191,452.020321,1.34485738,preferred,False,synthetic
V00192,452.348975,2.03658725,commercial,False,synthetic
V00193,1178.624762,1.188031,standard,True,synthetic
V00194,699.276455,1.60784801,commercial,False,synthetic
V00195,693.884755,1.39360824,standard,True,synthetic
V00196,588.911629,1.03198545,preferred,True,synthetic
V00197,459.917374,0.85947641,commercial,True,synthetic
V00198,816.524613,0.97452454,standard,True,synthetic
V00199,250.0,0.81618567,standard,False,synthetic
V00200,1567.531714,0.88689527,commercial,True,synthetic
V00201,462.87878,0.94043843,standard,True,synthetic
V00202,840.365359,1.15219239,standard,True,synthetic
V00203,804.790891,0.89713036,standard,True,synthetic
V00204,799.095462,1.34811139,preferred,False,synthetic
V00205,250.0,0.49655139,standard,True,synthetic
V00206,618.216243,1.40908271,standard,True,synthetic
V00207,865.810861,1.12004969,standard,True,synthetic
V00208,682.14712,1.23475071,standard,False,synthetic
V00209,496.848331,0.45363467,standard,False,synthetic
V00210,794.471248,1.34091403,standard,True,synthetic
V00211,779.163583,0.65132294,standard,False,synthetic
V00212,933.129145,0.74650156,preferred,False,synthetic
V00213,425.381832,1.05749796,standard,True,synthetic
V00214,1314.903379,0.43052573,preferred,True,synthetic
V00215,580.237783,1.57280106,standard,False,synthetic
V00216,1088.103689,1.04483573,standard,True,synthetic
V00217,618.788402,0.92970799,standard,False,synthetic
